sample,GPSC,merge_history
23430_1#186,1,
17794_6#29,1,
12291_4#13,1,
23430_3#119,1,
6755_4#8,1,
6823_3#11,1,
17150_6#33,1,
17794_4#32,1,
22841_1#110,1,
17794_5#91,1,
23204_4#86,1,
6823_2#18,1,
13353_7#78,1,
6983_2#21,1,
6791_6#24,1,
12162_1#63,1,
6899_5#7,1,
9803_8#35,1,
11657_4#74,1,
12299_2#1,1,
18090_2#68,1,
23430_1#43,1,
14566_5#42,1,
17794_5#48,1,
17150_6#62,1,
20402_4#127,1,
19341_2#73,1,
14520_8#19,1,
7038_4#20,1,
12274_5#47,1,
20402_4#110,1,
9803_7#18,1,
13091_2#49,1,
17150_4#14,1,
19647_1#9,1,
6680_4#24,1,
7092_6#24,1,
16404_7#83,1,
28042_2#94,1,
17794_6#55,1,
17059_8#69,1,
6710_7#1,1,
16404_7#35,1,
17175_8#81,1,
14412_1#7,1,
17794_5#15,1,
23204_4#72,1,
11658_2#60,1,
12291_4#58,1,
18787_3#31,1,
15682_1#67,1,
15682_4#11,1,
6246_3#1,1,
6999_2#1,1,
13091_1#9,1,
9803_7#20,1,
14673_2#34,1,
13091_6#81,1,
23430_3#22,1,
6259_2#22,1,
12274_5#62,1,
20402_4#88,1,
12274_6#5,1,
19341_1#66,1,
21999_7#162,1,
19647_1#2,1,
19341_3#62,1,
19787_5#61,1,
24775_1#76,1,
6680_4#21,1,
23204_4#49,1,
17794_4#24,1,
23430_1#104,1,
17794_6#15,1,
6938_6#14,1,
23430_2#60,1,
23430_1#180,1,
23430_1#165,1,
23430_1#142,1,
23430_1#185,1,
14410_7#45,1,
11826_3#15,1,
23204_4#100,1,
6680_7#22,1,
15874_1#56,1,
24820_2#22,1,
18814_2#24,1,
14566_8#85,1,
18090_2#150,1,
6899_7#4,1,
21127_1#95,1,
23430_3#95,1,
6871_1#3,1,
6259_1#2,1,
6807_1#19,1,
17794_8#138,1,
24861_1#291,1,
12291_5#33,1,
12299_2#8,1,
6972_4#1,1,
17794_4#70,1,
17794_5#25,1,
7038_4#7,1,
14520_8#92,1,
6775_2#19,1,
11679_1#74,1,
11826_3#14,1,
17794_4#65,1,
22335_7#14,1,
17794_5#29,1,
19647_1#74,1,
12274_6#47,1,
14937_1#37,1,
6840_1#16,1,
6259_4#19,1,
11658_2#24,1,
19647_1#13,1,
6730_6#1,1,
17175_6#65,1,
6925_5#23,1,
6899_7#19,1,
7335_3#74,1,
7011_6#20,1,
17794_4#30,1,
13154_3#78,1,
23204_4#68,1,
19341_3#115,1,
6805_4#15,1,
6775_2#24,1,
12274_6#25,1,
19341_3#45,1,
6805_1#7,1,
24775_1#9,1,
6823_3#3,1,
23430_1#61,1,
11860_1#27,1,
14673_2#88,1,
17794_5#55,1,
13154_3#36,1,
24820_2#45,1,
16404_7#49,1,
15682_5#43,1,
7004_7#55,1,
13415_6#51,1,
17794_6#13,1,
17794_3#52,1,
18814_2#15,1,
19646_1#60,1,
17794_6#76,1,
6999_1#17,1,
22841_1#119,1,
22335_8#67,1,
19084_8#139,1,
14672_3#11,1,
18090_1#40,1,
22335_8#2,1,
15682_3#26,1,
15682_5#17,1,
17794_6#12,1,
24775_1#61,1,
15191_5#1,1,
19646_1#74,1,
19341_1#88,1,
14673_3#10,1,
17794_5#24,1,
21999_7#176,1,
5366_3#1,1,
14566_4#80,1,
24775_1#108,1,
12162_1#86,1,
6187_6#8,1,
13414_2#22,1,
16404_7#51,1,
5381_1#8,1,
17059_7#38,1,
17794_3#90,1,
11657_4#40,1,
6840_1#13,1,
6641_6#19,1,
19341_3#14,1,
17794_7#66,1,
5901_6#5,1,
15682_3#25,1,
21127_1#113,1,
9803_8#36,1,
5366_6#8,1,
17150_6#70,1,
24820_2#99,1,
19341_1#72,1,
16404_7#80,1,
7622_3#51,1,
6736_5#6,1,
6823_1#5,1,
22841_1#176,1,
22335_7#86,1,
14412_1#5,1,
13091_2#12,1,
23164_8#158,1,
6680_8#2,1,
6259_3#9,1,
12837_5#57,1,
7054_4#24,1,
19647_1#17,1,
17794_5#71,1,
12299_2#89,1,
17794_4#60,1,
6823_5#4,1,
19646_1#43,1,
15873_7#3,1,
19647_1#64,1,
12837_1#25,1,
15873_6#59,1,
12837_2#24,1,
6807_2#16,1,
18090_1#35,1,
5381_1#3,1,
12291_1#48,1,
6805_4#5,1,
12274_5#75,1,
23430_2#62,1,
19341_3#51,1,
6899_5#17,1,
10868_6#11,1,
17794_4#1,1,
12274_5#41,1,
14566_5#14,1,
11860_1#6,1,
19084_7#43,1,
18814_1#30,1,
16404_7#68,1,
6755_4#22,1,
12162_1#60,1,
17150_4#57,1,
13091_1#80,1,
17794_3#51,1,
6823_5#24,1,
12291_2#47,1,
7001_1#17,1,
11657_8#4,1,
23204_4#74,1,
5477_6#8,1,
14410_8#56,1,
6938_7#7,1,
23430_1#105,1,
5381_2#3,1,
6807_3#1,1,
11826_3#18,1,
17794_6#7,1,
19341_3#117,1,
24775_1#40,1,
12378_4#5,1,
19647_1#88,1,
6999_7#23,1,
11826_4#12,1,
15277_1#17,1,
15191_5#47,1,
7011_6#14,1,
15682_2#64,1,
6736_8#22,1,
17794_4#85,1,
17794_5#31,1,
12291_4#69,1,
11893_8#11,1,
18814_1#29,1,
